p, v
0.0,1.0083788755249283
0.01,0.997265623989424
0.02,0.9546828954061566
0.03,0.9539776586611121
0.04,0.959227345434629
0.05,0.941217781154491
0.060000000000000005,0.9252263040399702
0.07,0.9507466803010551
0.08,0.9140889493439704
0.09,0.8974333488759711
0.09999999999999999,0.8950724668881616
0.10999999999999999,0.8934451138520746
0.11999999999999998,0.8921638531420365
0.12999999999999998,0.8472164651984114
0.13999999999999999,0.8780555111026164
0.15,0.8431334381382625
0.16,0.8377617880454216
0.17,0.8267695482016035
0.18000000000000002,0.8290951940624998
0.19000000000000003,0.8349898601570622
0.20000000000000004,0.8176209500112558
0.21000000000000005,0.8022814020445399
0.22000000000000006,0.7996919185575485
0.23000000000000007,0.7906591590114971
0.24000000000000007,0.7912548451080312
0.25000000000000006,0.7786214360065294
0.26000000000000006,0.7883039350061084
0.2700000000000001,0.7640147958097484
0.2800000000000001,0.7634692960450102
0.2900000000000001,0.7496493497806808
0.3000000000000001,0.7506847994527887
0.3100000000000001,0.7252279001195026
0.3200000000000001,0.7144897033829463
0.3300000000000001,0.721668255390413
0.34000000000000014,0.7266266243134879
0.35000000000000014,0.7177348946455397
0.36000000000000015,0.6885823141737835
0.37000000000000016,0.6906658561635606
0.38000000000000017,0.6762613017804202
0.3900000000000002,0.6545980816621876
0.4000000000000002,0.6715211581088503
0.4100000000000002,0.6486581009889997
0.4200000000000002,0.6376251217352522
0.4300000000000002,0.6209634472923302
0.4400000000000002,0.63988268804382
0.45000000000000023,0.6115120885823141
0.46000000000000024,0.6212075129348898
0.47000000000000025,0.6272657500962844
0.48000000000000026,0.6088784081163127
0.49000000000000027,0.5907685929178593
0.5000000000000002,0.5821966083614825
0.5100000000000002,0.5633465726057588
0.5200000000000002,0.5680725437001485
0.5300000000000002,0.5581438825759358
0.5400000000000003,0.5470667291371474
0.5500000000000003,0.532901266166815
0.5600000000000003,0.5306186364116284
0.5700000000000003,0.5153916564499735
0.5800000000000003,0.5087354026267328
0.5900000000000003,0.5004153945659596
0.6000000000000003,0.4883741371809018
0.6100000000000003,0.4731608449225734
0.6200000000000003,0.47049175484423766
0.6300000000000003,0.4658693344792866
0.6400000000000003,0.4514530965229647
0.6500000000000004,0.4485686342062355
0.6600000000000004,0.4516964360476866
0.6700000000000004,0.43859459545766744
0.6800000000000004,0.41465189382748235
0.6900000000000004,0.41512922585757384
0.7000000000000004,0.3878690367030824
0.7100000000000004,0.38428931762133434
0.7200000000000004,0.3776351846136452
0.7300000000000004,0.3603304310242165
0.7400000000000004,0.3611855748301882
0.7500000000000004,0.3610732894317056
0.7600000000000005,0.3370141772036476
0.7700000000000005,0.3202707203914705
0.7800000000000005,0.32500294291253656
0.7900000000000005,0.2862756293110699
0.8000000000000005,0.28760935465708226
0.8100000000000005,0.2719980900343123
0.8200000000000005,0.27448686091744934
0.8300000000000005,0.2540494058085417
0.8400000000000005,0.24915978988422438
0.8500000000000005,0.2465639688609571
0.8600000000000005,0.21501111980186768
0.8700000000000006,0.1935649852063828
0.8800000000000006,0.19764748918374966
0.8900000000000006,0.17856911356274896
0.9000000000000006,0.15926821007868497
0.9100000000000006,0.1548073206067346
0.9200000000000006,0.13820941759383293
0.9300000000000006,0.12470867495520813
0.9400000000000006,0.1049912760367806
0.9500000000000006,0.1005957797301488
0.9600000000000006,0.09298900595389331
0.9700000000000006,0.07536757057211443
0.9800000000000006,0.060847887701185724
0.9900000000000007,0.047751940586721955
