p, t, <v>, Mq, Gq, Aq
0.05,1,0.9324044983364423,150.50458333333333,0.9931944444444445,4.589027777777778
0.1,1,0.8649198908186195,152.92819444444444,0.9022916666666667,3.359375
0.15000000000000002,1,0.7537243758989896,152.4946527777778,0.9315277777777777,4.609166666666667
0.2,1,0.7062936379261885,151.70854166666666,1.0299305555555556,3.6970833333333335
0.25,1,0.6675090651991404,153.57895833333333,0.8893055555555556,4.854305555555555
0.3,1,0.6267768302076362,156.67541666666668,0.9271527777777778,3.7086805555555555
0.35,1,0.5910674840098238,156.05166666666668,0.9066666666666666,3.4105555555555553
0.39999999999999997,1,0.5455236426702925,153.5365972222222,0.9323611111111111,5.113541666666666
0.44999999999999996,1,0.52791141352291,153.171875,0.818125,3.480277777777778
0.49999999999999994,1,0.4766636898292715,151.44395833333334,1.0890277777777777,3.184513888888889
0.5499999999999999,1,0.4365592582834205,150.76319444444445,0.8720138888888889,3.787916666666667
0.6,1,0.40908948780620014,157.8426388888889,0.9525,3.854236111111111
0.05,2,0.8439143086007705,152.71263888888888,0.9886805555555556,3.9210416666666665
0.1,2,0.8174000974241367,155.890625,1.0103472222222223,3.457847222222222
0.15000000000000002,2,0.7890579056378952,153.00048611111112,1.0395138888888888,3.66625
0.2,2,0.7654115215461179,156.15194444444444,0.9954166666666666,2.817083333333333
0.25,2,0.7319343283772444,155.75694444444446,0.9753472222222223,5.551875
0.3,2,0.6820546216027269,158.30145833333333,0.9126388888888889,4.020694444444445
0.35,2,0.6445449058843307,149.06840277777778,0.9872222222222222,4.868402777777778
0.39999999999999997,2,0.5966157321722145,154.25277777777777,0.9670833333333333,4.932708333333333
0.44999999999999996,2,0.5783058579534814,155.109375,0.9370833333333334,4.570208333333333
0.49999999999999994,2,0.5199846624903408,151.87395833333332,0.9601388888888889,3.6152777777777776
0.5499999999999999,2,0.4748143364137083,154.17944444444444,0.9413888888888889,4.230972222222222
0.6,2,0.4305254049474795,153.898125,1.0345833333333334,3.3065972222222224
0.05,3,1.0816617022007708,155.44472222222223,1.0703472222222221,3.8670138888888888
0.1,3,0.9822843466437259,154.01541666666665,1.1491666666666667,4.108125
0.15000000000000002,3,0.9652731132974217,158.03,1.094375,4.467083333333333
0.2,3,0.8719601664644827,154.19229166666668,1.1594444444444445,4.042708333333334
0.25,3,0.8326134049235272,155.57979166666667,1.0566666666666666,3.562986111111111
0.3,3,0.7957510984975922,160.97541666666666,1.0793055555555555,5.822361111111111
0.35,3,0.7280085061070793,157.18993055555555,1.1689583333333333,3.3802777777777777
0.39999999999999997,3,0.6567081432399415,156.48284722222223,1.2311805555555555,3.8977083333333336
0.44999999999999996,3,0.6100790312770764,153.43541666666667,1.137013888888889,5.359305555555555
0.49999999999999994,3,0.5623222843891027,155.75444444444443,1.2352777777777777,4.511319444444444
0.5499999999999999,3,0.5068390382465805,154.30631944444445,1.1206944444444444,3.7538194444444444
0.6,3,0.4635323588778622,161.20270833333333,1.030625,4.1999305555555555
0.05,4,1.0653525186711206,151.16715277777777,1.2895833333333333,4.334305555555556
0.1,4,1.0341283453510672,157.21902777777777,1.2209722222222221,3.68625
0.15000000000000002,4,0.9559707767131224,151.66631944444444,1.275,4.151597222222223
0.2,4,0.8927705942345978,145.85625,1.3831944444444444,3.7431944444444443
0.25,4,0.8368983752089193,156.48243055555557,1.114861111111111,4.565972222222222
0.3,4,0.7762879659301035,154.3761111111111,1.3241666666666667,3.7268055555555555
0.35,4,0.7462047660549663,156.05791666666667,1.3134027777777777,5.375902777777778
0.39999999999999997,4,0.6850591347922469,152.73666666666668,1.2280555555555555,4.7115277777777775
0.44999999999999996,4,0.6269569768436871,152.7902777777778,1.306111111111111,3.655902777777778
0.49999999999999994,4,0.5899499154412087,158.51645833333333,1.1975,3.6572222222222224
