q,p,v,l,timeOnRoad
0.1,0.6,3,20,12.101140432951668
0.1,0.6,3,40,20.491016274734406
0.1,0.6,3,80,37.255814362314815
0.1,0.6,6,5,5.494265605249025
0.1,0.6,6,10,7.740722848445686
0.1,0.6,6,20,10.817660742240012
0.1,0.6,6,40,15.212162783613808
0.1,0.6,6,80,22.750707845091927
0.1,0.6,9,5,5.503864828066976
0.1,0.6,9,10,7.746873199948836
0.1,0.6,9,20,10.804094143850698
0.1,0.6,9,40,15.12916190341034
0.1,0.6,9,80,21.24581935679246
0.1,0.6,12,5,5.508169275824598
0.1,0.6,12,10,7.760753122504747
0.1,0.6,12,20,10.801375660220074
0.1,0.6,12,40,15.110588998007373
0.1,0.6,12,80,21.205223679716287
0.1,0.7,3,5,6.607190039010909
0.1,0.7,3,10,9.288089086504753
0.1,0.7,3,20,13.837351246058752
0.1,0.7,3,40,22.600569540709667
0.1,0.7,3,80,40.1081046639693
0.1,0.7,6,5,6.609289406680194
0.1,0.7,6,10,9.217887975190422
0.1,0.7,6,20,12.804964563541409
0.1,0.7,6,40,17.90625357183471
0.1,0.7,6,80,25.90837062856664
0.1,0.7,9,5,6.601473074130274
0.1,0.7,9,10,9.208321648232365
0.1,0.7,9,20,12.821549902908526
0.1,0.7,9,40,17.853842083030923
0.1,0.7,9,80,25.031908328233616
0.1,0.7,12,5,6.624647943206603
0.1,0.7,12,10,9.20002438787998
0.1,0.7,12,20,12.801973026880678
0.1,0.7,12,40,17.86206859862378
0.1,0.7,12,80,24.998923739173478
0.1,0.7999999999999999,3,5,8.595264629817999
0.1,0.7999999999999999,3,10,11.790753072822815
0.1,0.7999999999999999,3,20,16.973100544164485
0.1,0.7999999999999999,3,40,26.28798717831864
0.1,0.7999999999999999,3,80,44.56396698387301
0.1,0.7999999999999999,6,5,8.605419677003209
0.1,0.7999999999999999,6,10,11.777777399397145
0.1,0.7999999999999999,6,20,16.341055485670907
0.1,0.7999999999999999,6,40,22.70774250334024
0.1,0.7999999999999999,6,80,32.069596143277856
0.1,0.7999999999999999,9,5,8.592035127635494
0.1,0.7999999999999999,9,10,11.732048385590712
0.1,0.7999999999999999,9,20,16.281987032045446
0.1,0.7999999999999999,9,40,22.708583276893947
0.1,0.7999999999999999,9,80,31.67762289538991
0.1,0.7999999999999999,12,5,8.575569936270709
0.1,0.7999999999999999,12,10,11.742525475554787
0.1,0.7999999999999999,12,20,16.341805189671284
0.1,0.7999999999999999,12,40,22.672687953855096
0.1,0.7999999999999999,12,80,31.777068630867557
0.1,0.8999999999999999,3,5,13.967263172319356
0.1,0.8999999999999999,3,10,17.976275510936457
0.1,0.8999999999999999,3,20,24.927700134604844
0.1,0.8999999999999999,3,40,36.39690858569915
0.1,0.8999999999999999,3,80,56.71812910937958
0.1,0.8999999999999999,6,5,14.032971151439352
0.1,0.8999999999999999,6,10,17.982599883038848
0.1,0.8999999999999999,6,20,24.544688438804886
0.1,0.8999999999999999,6,40,34.71540603913407
0.1,0.8999999999999999,6,80,49.13237107537123
0.1,0.8999999999999999,9,5,13.923872203842704
0.1,0.8999999999999999,9,10,17.939672181920237
0.1,0.8999999999999999,9,20,24.50209185668011
0.1,0.8999999999999999,9,40,34.738285595405074
0.1,0.8999999999999999,9,80,49.31775253998934
0.1,0.8999999999999999,12,5,13.937331212759013
0.1,0.8999999999999999,12,10,17.91811707545395
0.1,0.8999999999999999,12,20,24.489168644100985
0.1,0.8999999999999999,12,40,34.860596480553646
0.1,0.8999999999999999,12,80,49.351793687054275
0.2,0.0,3,5,3.19752048634012
0.2,0.0,3,10,5.20105944418452
0.2,0.0,3,20,8.199704105497414
0.2,0.0,3,40,15.200627345771569
0.2,0.0,3,80,28.199806973152974
0.2,0.0,6,5,3.200487249304755
0.2,0.0,6,10,4.2011040710456875
0.2,0.0,6,20,6.198980416520884
0.2,0.0,6,40,10.198292718573216
