q,p,v,l,timeOnRoad
0.2,0.2,12,5,3.673734847528059
0.2,0.2,12,10,5.057529513825751
0.2,0.2,12,20,7.271431222637285
0.2,0.2,12,40,10.336996958401658
0.2,0.2,12,80,14.553452979801886
0.2,0.30000000000000004,3,5,3.9952398028055316
0.2,0.30000000000000004,3,10,5.940869868907652
0.2,0.30000000000000004,3,20,9.611026258309902
0.2,0.30000000000000004,3,40,17.098129507519495
0.2,0.30000000000000004,3,80,32.04931092478422
0.2,0.30000000000000004,6,5,3.993108296998023
0.2,0.30000000000000004,6,10,5.568781752304855
0.2,0.30000000000000004,6,20,7.9227538295403335
0.2,0.30000000000000004,6,40,11.576839244886557
0.2,0.30000000000000004,6,80,18.593217750485742
0.2,0.30000000000000004,9,5,3.9947303874933247
0.2,0.30000000000000004,9,10,5.569952144093663
0.2,0.30000000000000004,9,20,7.9251216137358025
0.2,0.30000000000000004,9,40,11.18137392231721
0.2,0.30000000000000004,9,80,16.003316561849115
0.2,0.30000000000000004,12,5,3.9951675699559
0.2,0.30000000000000004,12,10,5.568889058442732
0.2,0.30000000000000004,12,20,7.923129942211613
0.2,0.30000000000000004,12,40,11.180123331753892
0.2,0.30000000000000004,12,80,15.72562712774344
0.2,0.4,3,5,4.407601737966492
0.2,0.4,3,10,6.448320599732673
0.2,0.4,3,20,10.32656847915439
0.2,0.4,3,40,18.114594948598455
0.2,0.4,3,80,33.673218089900786
0.2,0.4,6,5,4.4073679545154185
0.2,0.4,6,10,6.192497303144059
0.2,0.4,6,20,8.733342214820834
0.2,0.4,6,40,12.541314291968952
0.2,0.4,6,80,19.703165648127364
0.2,0.4,9,5,4.406602756154941
0.2,0.4,9,10,6.19158418790163
0.2,0.4,9,20,8.735594503033312
0.2,0.4,9,40,12.27216915534811
0.2,0.4,9,80,17.404252558252963
0.2,0.4,12,5,4.407707749340748
0.2,0.4,12,10,6.194983572549075
0.2,0.4,12,20,8.732848778465137
0.2,0.4,12,40,12.272884726720731
0.2,0.4,12,80,17.242796657625473
0.2,0.5,3,5,4.953859296763317
0.2,0.5,3,10,7.165797197149739
0.2,0.5,3,20,11.239997543586218
0.2,0.5,3,40,19.366188636872693
0.2,0.5,3,80,35.57386839082062
0.2,0.5,6,5,4.955512843489294
0.2,0.5,6,10,6.990613882148269
0.2,0.5,6,20,9.803403145740266
0.2,0.5,6,40,13.889702687389596
0.2,0.5,6,80,21.22878401566922
0.2,0.5,9,5,4.954909495964089
0.2,0.5,9,10,6.9936512715359855
0.2,0.5,9,20,9.802189809876587
0.2,0.5,9,40,13.736082257386816
0.2,0.5,9,80,19.340076428996653
0.2,0.5,12,5,4.954388790606428
0.2,0.5,12,10,6.995758312510804
0.2,0.5,12,20,9.800780449072025
0.2,0.5,12,40,13.731754386406845
0.2,0.5,12,80,19.263435773620476
0.2,0.6,3,5,5.717840490528113
0.2,0.6,3,10,8.196411189883763
0.2,0.6,3,20,12.52734497399918
0.2,0.6,3,40,21.005525015583213
0.2,0.6,3,80,37.916632249619916
0.2,0.6,6,5,5.715466255438813
0.2,0.6,6,10,8.093662116346605
0.2,0.6,6,20,11.303532661937666
0.2,0.6,6,40,15.885262918939867
0.2,0.6,6,80,23.536733308284948
0.2,0.6,9,5,5.718202000123377
0.2,0.6,9,10,8.093323676419843
0.2,0.6,9,20,11.30804154078287
0.2,0.6,9,40,15.790863742926177
0.2,0.6,9,80,22.15578435113957
0.2,0.6,12,5,5.721069904455262
0.2,0.6,12,10,8.090203996980518
0.2,0.6,12,20,11.302903903641782
0.2,0.6,12,40,15.792991595007317
0.2,0.6,12,80,22.12942680747338
0.2,0.7,3,5,6.868894577598485
0.2,0.7,3,10,9.775885210909886
0.2,0.7,3,20,14.537204783979425
0.2,0.7,3,40,23.470293959329364
0.2,0.7,3,80,41.15324922476524
0.2,0.7,6,5,6.875591212342203
0.2,0.7,6,10,9.712813212156899
0.2,0.7,6,20,13.625507206687656
0.2,0.7,6,40,19.061349254756454
0.2,0.7,6,80,27.41774455072146
0.2,0.7,9,5,6.872858239862353
0.2,0.7,9,10,9.709906298464933
0.2,0.7,9,20,13.60843584260934
0.2,0.7,9,40,19.029269019445795
0.2,0.7,9,80,26.647644132782837
0.2,0.7,12,5,6.873004894417367
0.2,0.7,12,10,9.713060243112762
0.2,0.7,12,20,13.62613249564822
0.2,0.7,12,40,19.02581932609094
0.2,0.7,12,80,26.62972001099096
0.2,0.7999999999999999,3,5,8.931808374452856
0.2,0.7999999999999999,3,10,12.435042394730399
0.2,0.7999999999999999,3,20,18.26656107886712
0.2,0.7999999999999999,3,40,28.21351788148037
0.2,0.7999999999999999,3,80,46.97733789435587
0.2,0.7999999999999999,6,5,8.928514424848911
0.2,0.7999999999999999,6,10,12.417947903934213
0.2,0.7999999999999999,6,20,17.715567543268772
0.2,0.7999999999999999,6,40,25.09513989792797
0.2,0.7999999999999999,6,80,35.70081271708118
0.2,0.7999999999999999,9,5,8.912443643061417
0.2,0.7999999999999999,9,10,12.40898258411078
0.2,0.7999999999999999,9,20,17.698221262203145
0.2,0.7999999999999999,9,40,25.150117943841085
0.2,0.7999999999999999,9,80,35.46938704084317
0.2,0.7999999999999999,12,5,8.92156990714052
0.2,0.7999999999999999,12,10,12.422016665785904
0.2,0.7999999999999999,12,20,17.69615956364982
0.2,0.7999999999999999,12,40,25.102069703964563
0.2,0.7999999999999999,12,80,35.43619335965217
0.2,0.8999999999999999,3,5,14.381933463266618
0.2,0.8999999999999999,3,10,18.68677843809719
0.2,0.8999999999999999,3,20,26.886352650634475
0.2,0.8999999999999999,3,40,42.3348107939331
0.2,0.8999999999999999,3,80,67.68222265758888
0.2,0.8999999999999999,6,5,14.364776993137255
0.2,0.8999999999999999,6,10,18.65144390073148
0.2,0.8999999999999999,6,20,26.730458558237554
0.2,0.8999999999999999,6,40,41.1482025595835
0.2,0.8999999999999999,6,80,63.60952711852818
0.2,0.8999999999999999,9,5,14.379330271211877
0.2,0.8999999999999999,9,10,18.66118526364237
0.2,0.8999999999999999,9,20,26.62134417233469
0.2,0.8999999999999999,9,40,41.037868913385466
0.2,0.8999999999999999,9,80,63.7550932395948
0.2,0.8999999999999999,12,5,14.380173293216416
0.2,0.8999999999999999,12,10,18.673992952398052
0.2,0.8999999999999999,12,20,26.689130811729438
0.2,0.8999999999999999,12,40,41.07062125073077
0.2,0.8999999999999999,12,80,63.1966164487151
0.30000000000000004,0.0,3,5,3.2998471027320764
0.30000000000000004,0.0,3,10,5.299940732749527
0.30000000000000004,0.0,3,20,8.299995052502329
0.30000000000000004,0.0,3,40,15.30035968397858
0.30000000000000004,0.0,3,80,28.299888361216812
0.30000000000000004,0.0,6,5,3.300000435903487
0.30000000000000004,0.0,6,10,4.299474733557036
0.30000000000000004,0.0,6,20,6.299804146328629
0.30000000000000004,0.0,6,40,10.299449587379536
0.30000000000000004,0.0,6,80,16.300055262635397
0.30000000000000004,0.0,9,5,3.2998968472343546
0.30000000000000004,0.0,9,10,4.299792027009743
0.30000000000000004,0.0,9,20,6.29988071348215
0.30000000000000004,0.0,9,40,9.299736980501653
0.30000000000000004,0.0,9,80,13.299746964669039
0.30000000000000004,0.0,12,5,3.300240360854253
0.30000000000000004,0.0,12,10,4.300063260283532
0.30000000000000004,0.0,12,20,6.30017365685614
