d, <v>, Mq, Gq, Aq, R44TOR, detourTOR
0.0,1.0349073867653267,156.83115902777777,2.6193256944444445,5.779207638888889,270.37362539647046,NaN
0.01,1.0255375039576704,150.09495833333332,2.6200923611111113,7.835643055555556,261.55129585258464,240.65175951262796
0.02,1.0249266959693881,143.31123819444446,2.6266576388888887,9.82695625,252.96313131074933,234.029628224264
0.03,1.0217294648306745,135.13328611111112,2.617386111111111,13.154004861111112,242.87653253803614,227.45684079696883
0.04,1.0184942537139743,128.60269791666667,2.6114944444444443,17.31416388888889,233.64927963904648,224.5010624827757
0.05,1.0190325478463,122.56834652777778,2.625604861111111,22.083379166666667,225.63140187521515,223.09883901361272
0.060000000000000005,1.0206652911255176,115.37355902777777,2.6292430555555555,28.02020486111111,217.30420785540338,221.38490402163302
0.07,1.0219713336209928,108.67807291666666,2.6110819444444444,33.913183333333336,207.70381280377208,221.73521562188515
0.08,1.020505620478652,102.51845694444444,2.6234652777777776,40.04337708333333,200.61018797750194,222.4193249312584
0.09,1.0286621991083955,95.47223263888888,2.612523611111111,46.41123541666666,190.37583792594174,220.73914181126753
0.09999999999999999,1.0269824171854949,88.5745,2.6055368055555554,51.7238,181.63523965089968,220.67127915685182
0.10999999999999999,1.0323373220600955,82.48031597222223,2.6092743055555556,58.79257013888889,172.97862338272083,221.92828125423216
0.11999999999999998,1.0264974756743446,77.1097125,2.6163736111111113,64.10040347222223,166.1366790026959,222.07804781056078
0.12999999999999998,1.0267684746179186,70.89010486111111,2.61751875,70.25369305555556,158.22211274267502,222.56605418793202
0.13999999999999999,1.0297251291572835,64.64502986111111,2.6110854166666666,76.26625972222222,150.36347184367094,222.9679197373825
0.15,1.0294971549495668,57.90904861111111,2.6253777777777776,82.58248333333333,141.22236630803073,222.90189869806224
0.16,1.0334733455988403,52.28583888888889,2.6139930555555555,87.91218611111111,133.5353534956762,222.67037345161168
0.17,1.0288192949944983,47.05939375,2.6416673611111112,93.81450138888889,127.2803493928225,224.22245780318406
0.18000000000000002,1.0265222014368078,42.36742638888889,2.6130416666666667,98.55548402777778,121.09686326728247,224.23880507264198
0.19000000000000003,1.0310003430334878,36.61366180555556,2.6180458333333334,103.89100069444444,113.55380862926128,224.50178569368103
0.20000000000000004,1.0328293176525272,31.577802083333335,2.615838888888889,109.28971944444444,106.63442277349537,224.97008098731908
0.21000000000000005,1.0345409074987362,27.358972916666666,2.6075958333333333,114.65494583333333,101.14032698630645,227.23748231770315
0.22000000000000006,1.0387279708524364,23.374899305555555,2.607266666666667,119.71723125,95.89519244144289,228.42175642982016
0.23000000000000007,1.0400562831615503,19.595883333333333,2.6129868055555554,123.82036388888889,90.67540817032645,229.13720713730112
0.24000000000000007,1.036818544330433,16.076500694444444,2.6264916666666664,129.2401576388889,86.30991401775954,230.822995079712
0.25000000000000006,1.0436605468832763,12.867220833333333,2.615295833333333,133.8678972222222,81.70267440635281,233.873914478315
0.26000000000000006,1.0383414186118802,10.441122222222223,2.6052381944444445,138.42237152777778,79.06927403601294,235.38482832134198
0.2700000000000001,1.0347473677519166,9.071077083333334,2.6190868055555554,141.82430833333333,77.52440630415137,237.6068030010819
0.2800000000000001,1.0442657577828203,7.660463194444445,2.612654861111111,145.6424597222222,74.92985679501572,240.04492294805829
0.2900000000000001,1.0449840979400058,6.88519375,2.614341666666667,149.96153055555556,73.87511872588733,243.47279427842216
0.3000000000000001,1.043522579206266,6.01875625,2.61800625,153.42272708333334,72.98070422906682,245.72229241230332
0.3100000000000001,1.0522749748847477,5.348061111111111,2.60570625,158.16163402777778,71.51366628069464,249.18476882874222
0.3200000000000001,1.0502710344388122,4.894172222222222,2.6228180555555554,161.66760763888888,70.9910815536705,252.99849984186093
0.3300000000000001,1.0517240200208096,4.571273611111111,2.6163375,164.97666319444446,70.61242533805962,255.04986252238507
0.34000000000000014,1.05478816757167,4.279886805555556,2.6136145833333333,168.11124027777777,69.8382326382246,258.6221906812204
0.35000000000000014,1.0531994406546734,3.9674430555555555,2.6293270833333335,171.63587291666667,69.62182303445945,260.85713131460665
0.36000000000000015,1.0542931680447123,3.8223576388888887,2.6136347222222223,174.95409166666667,69.40368038846074,263.8977426952798
0.37000000000000016,1.061139003841143,3.611311111111111,2.6169736111111113,178.40568333333334,68.81889153640863,266.2154583731864
0.38000000000000017,1.0608457940643836,3.4429215277777776,2.617859722222222,181.23872430555556,68.70532155784358,268.76727353218706
0.3900000000000002,1.0658312745259277,3.3327548611111113,2.616154861111111,184.1791465277778,68.06588185547584,270.9745877933928
0.4000000000000002,1.0624538238805463,3.185786111111111,2.614059027777778,186.25380555555554,68.29682614485355,273.1244204121418
0.4100000000000002,1.0649679903862574,3.0702881944444442,2.6225583333333335,190.1553111111111,68.04412953197885,276.0677861579621
0.4200000000000002,1.0704437818956165,2.967967361111111,2.6130465277777777,192.13105694444445,67.46932575880516,277.29099838408933
0.4300000000000002,1.072511118935256,2.8994479166666665,2.6194506944444442,195.13074166666667,67.354967015736,280.09654902892356
0.4400000000000002,1.0712506603106213,2.8050256944444443,2.6193465277777777,197.72515069444444,67.23059431729735,281.6648399194844
0.45000000000000023,1.0735485772671398,2.72748125,2.609354166666667,200.23212083333334,67.04799648988383,284.1364649464902
0.46000000000000024,1.0738684569895403,2.672832638888889,2.6269618055555557,202.37207291666667,67.0333852599109,285.5832438203832
0.47000000000000025,1.073216247888018,2.617395833333333,2.6150861111111112,205.67782291666666,66.98554936746241,288.5292532468391
