q,p,v,l,timeOnRoad
0.2,0.7,6,20,13.607000053517229
0.2,0.7,6,40,19.01796452941491
0.2,0.7,6,80,27.427559867089332
0.2,0.7,12,5,6.85748540371016
0.2,0.7,12,10,9.716464392031142
0.2,0.7,12,20,13.602786977823227
0.2,0.7,12,40,19.013160609881922
0.2,0.7,12,80,26.665881489185963
0.2,0.7999999999999999,3,5,8.915803544720312
0.2,0.7999999999999999,3,10,12.459324780044838
0.2,0.7999999999999999,3,20,18.232029637966612
0.2,0.7999999999999999,3,40,28.216095829134844
0.2,0.7999999999999999,3,80,47.056565808526244
0.2,0.7999999999999999,6,5,8.921868444361568
0.2,0.7999999999999999,6,10,12.415688377168228
0.2,0.7999999999999999,6,20,17.69625868922254
0.2,0.7999999999999999,6,40,25.226286830294267
0.2,0.7999999999999999,6,80,35.523661628796106
0.2,0.7999999999999999,12,5,8.909033268685663
0.2,0.7999999999999999,12,10,12.415032464786748
0.2,0.7999999999999999,12,20,17.741214478802664
0.2,0.7999999999999999,12,40,25.298818597919155
0.2,0.7999999999999999,12,80,35.63252540310026
0.2,0.8999999999999999,3,5,14.328099589839534
0.2,0.8999999999999999,3,10,18.714105226470718
0.2,0.8999999999999999,3,20,26.9419128400117
0.2,0.8999999999999999,3,40,41.88154217292813
0.2,0.8999999999999999,3,80,66.95984149515023
0.2,0.8999999999999999,6,5,14.37669310379572
0.2,0.8999999999999999,6,10,18.724882397351763
0.2,0.8999999999999999,6,20,26.670176258414987
0.2,0.8999999999999999,6,40,40.78872185964655
0.2,0.8999999999999999,6,80,63.97763780921334
0.2,0.8999999999999999,12,5,14.380649442448897
0.2,0.8999999999999999,12,10,18.713472375530124
0.2,0.8999999999999999,12,20,26.61511887235252
0.2,0.8999999999999999,12,40,41.76389726985062
0.2,0.8999999999999999,12,80,64.45598087536523
0.30000000000000004,0.0,3,5,3.29964689239855
0.30000000000000004,0.0,3,10,5.300815512866981
0.30000000000000004,0.0,3,20,8.30041938930521
0.30000000000000004,0.0,3,40,15.300650838090391
0.30000000000000004,0.0,3,80,28.298209916384973
0.30000000000000004,0.0,6,5,3.299467984454375
0.30000000000000004,0.0,6,10,4.299941119599904
0.30000000000000004,0.0,6,20,6.299460670397969
0.30000000000000004,0.0,6,40,10.299254127379923
0.30000000000000004,0.0,6,80,16.297647345756086
